p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
TSHZ1,0,-6.39015115406042,0.256,0.49,0,L2,TSHZ1
LOC101926917,0,-6.40486452715643,0.574,0.727,0,L2,LOC101926917
SEMA5B,0,-6.415247387427,0.591,0.336,0,L2,SEMA5B
AGPAT9,0,-6.44748814270489,0.174,0.401,0,L2,AGPAT9
RAP1GDS1,0,-6.47325219709494,0.878,0.937,0,L2,RAP1GDS1
TMEM108,0,-6.54292918040821,0.991,0.919,0,L2,TMEM108
COL6A1,0,-6.57894264857075,0.152,0.383,0,L2,COL6A1
NMNAT3,0,-6.5898356819202,0.3,0.541,0,L2,NMNAT3
MSI2,0,-6.70369089374455,0.682,0.806,0,L2,MSI2
PCSK1N,0,-6.71678239793613,0.664,0.793,0,L2,PCSK1N
TIMP2,0,-6.72702956126297,0.119,0.303,0,L2,TIMP2
UPF3A,0,-6.72849505089317,0.786,0.881,0,L2,UPF3A
FNBP1L,0,-6.73305307010158,0.107,0.549,0,L2,FNBP1L
DOPEY2,0,-6.87543314696127,0.605,0.746,0,L2,DOPEY2
MPP6,0,-6.87563970093522,0.962,0.875,0,L2,MPP6
